,KCCAns,QueryText
2176,APPLICATION 00 52 34 3 KG  /200 LITERS OF WATER,FERTILIZER APPLICATION FOR GROWTH THROUGH DRIP ?
2177,"Pineapple can be planted in the region of humid tropics. If the environment and temperature are nutritious, this crop can be successfully planted in the area along the coastline along the coastline. The normal leaves for this crop are 40 degrees and 100 to 150 cm. I need rain Pineapple can also be planted in areas with moderate rainfall while proper water planning is done.",asked about pineapple plantation
2178,10 26 26 + SINGL SUPER PHOSPHATE 300 GRAM / PLANT,ASKED ABOUT FERTILIZATION FOR BER ?
2179,SPRAY 00 52 34 60 GM /15 Lit of Water.,asked about FERTILIZER SPRAY ON ONION ?
2180,FERTILIZER SPRAY ON POMOGRANATE- SPRAY 00 52 34 60 GM /15 Lit of Water.,FERTILIZER SPRAY ON POMOGRANATE ?
2181,METHI -1 RAJSTHAN METHI- 1 NO-47 PRABHA PUSA EARLY BUNCHING KASURI,VARIETIES OF FENUGREEK ?
2182,"1)Spray m-45 30 gm /15 liter water.(Mancozeb) INDOFIL 

2)SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER",FARMER ASKED OF ATTACK OF BLIGHT ON ONION ?
2183,BIO 303 - 22 ML / 15 LITERS OF WATER DAMAN,ATTACK OF APHIDS ON ONION  ?
2184,Spray Blue copper -30 gm/15 lit water.(COPPER OXYCHLORIDE 50% WP)  SYNGENTA,WILT ATTACK ON ONION  ?
2185,attack caterpillar on maize: Spray Profex 30 ml/15 liter water.( Profenofos 40%) Nagarjuna,asked about attack caterpillar on maize?
2186,attack of leaf miner on tomato - spray CHLORANTRANILIPROLE,asked about attack of leaf miner on tomato ?
2187,MARKET RATE OF onion = DEVALA	LAL	QUINTAL	41	1755	2450  RS/QTL,ASKED ABOUT MARKET RATE OF  onion  ?
2188,Spray m-45 30 gm /15 liter water.(Mancozeb) INDOFIL,FUNGAL ATTACK OF  TOMATO ?
2189,pune Market Rate of onion- 1400-1800   rupees/qtl,Asking About Market Rate onion  ?
2190,Spray Actra 5 gm + Bavistin- 30 gram /15 Liter of Water(Thiomithoxom 25%)-Syngenta,ASKED ABOUT ATTACK OF APHIDS ON ONION?
2191,"Planting

Seeds should be sown on the bed up to make seedlings. Before preparing the bed plant, make sure to double the soil by placing 2, 3 cloves of the cluster and fry the land. Gadi wafa is 1m The width should be 3 meters long and 15 cm tall. Grind 1 gram Fenugreek, mix 50 grams of soyafa and make the steam flat with the hand. Before sowing, wash 3 grams of thyroid fungicide. Planting of seeds should be planted with parallel fingers by cutting the waist and covering it with soil. Water should be provided with fenugreek leaves. After coming out of seed, after 10 to 12 days, give two grams of pearl in two rows and give 10 gram frontlets per foot. Keep the steam watered. To control the flowering and crushing disease, spray 15 days after seedling with 12 to 15 ml monochrotocos and 25 gm of diaethene-M-45 in 10 liters of water. The next two sprays should be done at intervals of 10 days. After 25 to 30 days of sowing, ie after seedling height of 12-15 cm, seedlings should be restored to the entire world. Give water to the vapor a day before planting the seedlings. Therefore, the seedlings are not easily damaged due to the roots of the seedlings. Planting of plants should always be done in the evening or after they are low.",cultivation tomato
2192,ATTACK SUCKING PEST ON ONION: BIO 303 - 15 ML / 15 LITERS OF WATER DAMAN,ASKED ABOUT ATTACK SUCKING PEST ON ONION?
2193,NASIK MARKET RATE 7 TO 12 / KG/RS,ONION MARKET  RATE
2194,FERTILIZER SPRAY FOR GROWTH on cucumber - SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER,asking about FERTILIZER SPRAY FOR GROWTH on cucumber ?
2195,Attack of blight on tomato-Spray of Saaf 30gm/15 liter water.,Asked about Attack of blight on tomato?
2196,Fertilizer spray on tomato-Spray of 00:52:34 60gm/15 liter water.,Asked about Fertilizer spray on tomato?
2197,FERTILISER DOSE on onion - 19 19 19 60 GM  + MICROLLA 30 ML + BAVISTIN 30 GM/15 LITER WATER,asking about FERTILISER DOSE on onion ?
2198,yellowing on onion - Spray Bavistine 30gm + microla 30 ml /15lit of Water.,asking about yellowing on onion ?
2199,POTASH 4 KG /ACR,FERTILIZER DOSE FOR SUGARCANE?
2200,Market Rate - 5481-5500 rupees/qt.,Asking About Market Rate of cotton?
2201,ATTACK BLIGHT ON ONION: Spray M-45 30 gm /15 liter water.(Mancozeb) INDOFIL,ASKED ABOUT ATTACK BLIGHT ON ONION?
2202,spray cyantriniliprole 10.26 % OD (Benevia) 350 mili / ekar.,asked about attack of  leaf minor
2203,SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER,FERTILIZER SPRAY FOR GROWTH ON ONION ?
2204,SPRAY SILICON (ORTHOSELICILIC ACID 3%)DOW NUTRIBUILD IN 15 LITRE OF WATER,ASKED ABOUT ABIOTIC STRESS IN TOMATO ?
2205,"In CHANDVAD market -

TODAY Market Rate of onion -Minimum- 1700 rupees/qtl and maximum 2000 -rupees/qtl",Asking About Market Rate of onion in CHANDVAD market?
2206,ATTACK OF SUCKING PEST ON ONION : Lancer Gold 51.8 SP 30 GM /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL,ASKED ABOUT ATTACK OF SUCKING PEST ON ONION ?
2207,Spray Ridomil Gold 40 gm/15 Liter of Water(Mephonaxon+Mancozeb)-Syngenta,ASKING ABOUT ATTACK OF blight or Wilt ON ONION ?
2208,"MARKET RATE OF CABBAGE-

MIN- 600	   MAX- 800    AVERAGE- 700 RS/QTL",FARMER ASKED ABOUT MARKET RATE OF CABBAGE?
2209,spray	Redomil Gold  30 gram(Mephonaxon+mancozeb)syngnt/15 LITER WATER,asking about  powdery mildew on tomato crop?
2210,APPLY 00 52 34 3 KG / ACRE,ASKED ABOUT FERTILIZER USE IN POMOGRANATE ?
2211,ATTACK OF CATERPILLAR ON METHI  - Spray Neem ark 30 ml/15 liter water.,ASKED ABOUT ATTACK OF CATERPILLAR ON METHI ?
2212,SUCKING PEST ob brinjal-Spray Ullala 8 gm/15 Lit of Water.UPL,ATTACK OF SUCKING PEST ob brinjal?
2213,Spray Rijent 30 ml/15 liter water.(Fipronil 5 SC).,ATTACK OF SUCKING PEST on Onion ?
2214,"At one time 300 kg of neem cake, 2.5 granary super phosphate, 30 kg potash, 2 bags of ammonium sulphate, 10 ton of fertilizer and 10 microns in need of fertilizer should be given at the time of cultivation, give two bags of ammonium sulphate 1 to 2 times at intervals of 1 month.

120 kg of urea, 320 kg of super phosphate and 80 kg of mutant of potassium should be given in the steam before planting for onion crop.

- 30 days after cultivation and 50 days after the second and third installment of 120 kg of urea should be given.",FERTILIZER OF ONION ?
2215,"Crop name of pomegranate (in rainy season)

The cultivation gap (meters) -5 * 5m 60 * 60 * 60 cm

Water Supply- 35-40 Water Surveillance

Bahar Dharan-Ambia (Jan-Phab) (fruits: June-August)

Deer Bahar - (June-July) (Fruits: November-January)

Hand out- (September-October) (Fruits: February-April)",pomogranate
2216,White Fly on chilli-Spray Ullala 8 gm/15 Lit of Water.UPL,asked about Attack of White Fly on chilli?
2217,SPRAY 00 52 34 60 GM +19:19:19 60 GM /15 Lit of Water.,FERTILIZER SPRAY ON WHEAT ?
2218,AVERAGE MARKET RATE OF ONION 1600  RS/QTL,FARMER ASKED ABOUT MARKET RATE OF Onion?
2219,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL,BLIGHT ATTACK on tomato  ?
2220,Spray Natio 08 gm/15 Liter of Water(Tebuconyazol+Trifloxystrobin) -BAYER CROP SCIENCE,FARMER ASKED ABOUT BACTERIAL BLIGHT ON TOMATO ?
2221,SPRAY 12 61 00 40 60 GM + MICROLLA  30 ML /15 LITERS OF WATER,farmer asked about control of fertilizer dose of bitter gourd ?
2222,Spray Chloropyriphos 30 ml/15 Lit of Water.,ATTACK OF SHOOT BORER ? ????? ???
2223,Spray Bavistine 30gm/15lit of Water.,ASKED ABOUT WILT ATTACK ON FENUGREEK?
2224,Lancer Gold 51.8 SP 30 GM /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL,ASKED ABOUT ATTACK OF APHIDS AND CATERPILLAR ?
2225,Spray Kavach 25 gm/15 Liter of Water (Chlorothalonil)-Syngenta,Attack of Powdery or Downy or Blight on onion ?
2226,Market Rate of pomegranate-8000 rupees/qtl,Asking About Market Rate pomegranate ?
2227,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%),attack of thrips on clusterbean ?
2228,cultural practices of citrus,asked about cultural practices of citrus?
2229,Goal OR zargon (oxyfluorfen) Dow Agro- 20 ml /15 liter of water.,HERBICIDES ?
2230,SPRAY 00 52 34 60 GM /15 Lit of Water.,FERTILIZER SPRAY ON drumstick ?
2231,Market Rate OF COTTON  Min -5000 Max -6000  Average -5500 RS/QUINTAL,Farmer Asked About Market Rate COTTON ?
2232,Spray - Bavistane 30  gm+ microla 30 ml /15 Liter of Water(Carbandazin)-Basf,asking about farmer want to know information about How to control fungal attack in crop?
2233,Attack of White Fly ON ONION Spray Pegasus 25 gm/ 15 lit of water (Diafenthiuron)  SYNGENTA,FARMER ASKED ABOUT Attack of White Fly ON ONION ?
2234,"controll of Jassids/Leaf hoppers on brinjal-

SPRAY ADMIRE 5 GM /15 liter water BAYER CROP SCIENCE",Attack of Jassids/Leaf hoppers on brinjal?
2235,spray blue copper 30 gram  +  streptocyclean 4 gm/15 Lit of Water.,asking about wilt in tomaato
2236,SHOOT BORER on brinjal-Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta,ATTACK OF SHOOT BORER on brinjal?
2237,Spray of Boom flower 30 ml/15 lit of Water.,ASKED ABOUT FOR FLOWERING?
2238,MARKET RATE OF COTTON- 1700rupees/qtl,ASKED ABOUT MARKET RATE OF maize MARKET?
2239,attack of fungus on bitter guard - Spray m-45 30 gm /15 liter water.(Mancozeb) INDOFIL,asked about attack of fungus on bitter guard ?
2240,AUSA MARKET RATE OF WHEAT  -3251 RS/QUINTAL,ASKED ABOUT MARKET RATE OF WHEAT  ?
2241,"MARKET RATE OF BLACK GRAM -  3500, 4500, 4300 RS/QTL",FARMER ASKED ABOUT MARKET RATE OF BLACK GRAM ?
2242,"MARKET RATE OF WHEAT -1924, 2429, 2177 RS/QTL",FARMER ASKED ABOUT MARKET RATE OF WHEAT ?
2243,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta,Attack of Thrips and Jassids?
2244,Sowing time - Cereal wheat is sown in the second fortnight of October,ASKED ABOUT SOWING TIME OF WHEAT ?
2245,BLIGHT ATTACK ON ONION Spray Blue copper -30 gm/15 lit water.(COPPER OXYCHLORIDE 50% WP)   SYNGENTA,ASKING ASBOUT BLIGHT ATTACK ON ONION ?
2246,SPRAY 12 61 00 40 60 GM + vipul  30 ML /15 LITERS OF WATER,FERTILIZER SPRAY FOR GROWTH  ?
2247,rogar  - 15 ML / 15 LITERS OF WATER,ATTACK OF APHIDS cabbage ?
2248,MARKET REDATE OF BLACK GRAM-4000-4400/QTL.,ASKED ABOUT MARKET REDATE OF BLACK GRAM?
2249,19: 19: 19  60 GM  + MICROLLA 30 ML + BAVISTIN 30 GM/15 LITER WATER,asked about yellowing on musk melon ?
2250,FERTILIZER DOSE FOR GROWTH  OF POMEGRANATE  APPLY 19 19 19 - 3 KILO + MICROLLA 300 ML /ACRE. THROUGH DRIP.,FARMER ASKED ABOUT FERTILIZER DOSE FOR GROWTH  OF POMEGRANATE ?
2251,Spray Kasu-B 3 gm/15 Liter of Water(Kasugamycin+streptocycline)-Dhanuka,asked about attack of virus.
2252,FERTILIZER SPRAY ON capsicum - SPRAY 12 61 00 60 GM + MICROLLA  30 ML /15 LITERS OF WATER,asking about FERTILIZER SPRAY ON capsicum ?
2253,SPRAY MICROLA 45 ML + M 45 40 GM/15 LITER WATER,FARMER ASKED ABOUT YELLOWING OF ONION CROP?
2254,"PUSA PARVATI, ARKA KOMAL, FULE SUYASH",VARITIES OF FRENCH BEANS?
2255,APPLICATION OF UREA 1.5 KG + SSP 2 KG + POTASH 3.5 KG + 1 GHAMELA COMPOST + NIMBOLI PEND 1 KG/ coconut / YEAR,FERTILIZER DOSE FOR COCONUT ?
2256,MARKET RATE OF ONION 700  RS/QTL,FARMER ASKED ABOUT MARKET RATE OF Onion ?
2257,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta,ASKED ABOUT THRIPS ATTACK ON CORIENDER?
2258,apply of urea 150 gm+ssp 150 gm +mop 100 gm / plant.,asking about fertilizer dose for mango and coconut?
2259,Spray omite 5ml/15 liter water .(Propargite 57% EC) DHANUKA,asked about yellowing of sugarcane root stock?
2260,Spray Regent 20 ml/15 liter water(Fipronil 5 SC)-.BAYER CROP SCIENCE,Attack of Jassids/Leaf hoppers ON CHILLIES ?
2261,Spray Chloropyriphos 30 ml/15 Lit of Water.,ATTACK OF GRAM POD BORER?
2262,Chloropyriphos 30 ml / 15 lit of water.,caterpillar attack on pigeon pea ?
2263,MARKET RATE OF CORIENDER -5  RS/nag,FARMER ASKED ABOUT MARKET RATE OF CORIENDER ?
2264,"YOU CAN USE PHULE MAULI, PHULE CHITRA, PHULE ANURADHA PHULE CHITRA",ASKED ABOUT VARIETIES OF RABI AORGHUM VARIETY?
2265,AURANGABAD MARKET RATE OF BRINJAL -500-700 RS/QUINTAL,ASKED ABOUT MARKET RATE OF BRINJAL  ?
2266,SPRAY 12 61 00 60 GM + MICROLLA 30 ML /15 LITERS OF WATER,FERTILIZER SPRAY FOR ONION?
2267,SEED TREAREMENT OF CORIENDER - BEFORE SOWING OF CORIENDER SEEDS DEEPED IN WATER ABOUT 12 HOURS,FARMER ASKED ABOUT SEED TREAREMENT OF CORIENDER ?
2268,MARKET RATE OF -2300  RS/QTL,"FARMER ASKED ABOUT MARKET RATE OF Capsicum

?"
2269,ABOUT POWDERY MILDEW ON BRINJAL SPRAY AVTAR-30 GRAM /15 LITTRE OF WATER.,FARMER ASKED ABOUT POWDERY MILDEW ON BRINJAL ?
2270,MARKET RATE OF ONION = PUNE	600 -1200 RS/QUINTAL,ASKED ABOUT MARKET RATE OF  ONION ?
2271,"Seed treatment-  Before sowing, mix 2 grams of thyrum powder + 2 gm Bavistine or 5 g trichoderma and 25 gms of Rizobium and PSB mixed with cold dilution.",asked about seed tratment ?
2272,"VARIETIES OF CARROT -PUSA KESHAR, PUSA MEDHALI, PUSA JAMDAGNI",ASKED ABOUT VARIETIES OF CARROT ?
2273,FERTILIZER SPRAY FOR GROWTH on pigeonpea-SPRAY 19 19 19-60 GM + MICROLLA 30 ML /15 LITERS OF WATER,FERTILIZER SPRAY FOR GROWTH on pigeonpea?
2274,fertilizer dose for onion urea 1 bag + DAP 1 bag + 20 20 00 1 bag for 1 acre,asked about fertilizer dose for onion?
2275,"watermelon -_Sugar Baby and Arka Manik,PKM 1Hybrids_ Arka Jyoti and Pusa Bedana.?",asked about varities of watermelon?
2276,Redomil Gold 120 gram for 40 kg of gram seeds,asked about seed treatment on gram?
2277,SPRAY CHOROPYRIPHOS 30 ML + JAGGERY 50 GM / 15 LITRE PF WATER.,ASKED ABOUT FRUIT FLY ATTACK ON DRUMSTICK?
2278,Market of pumpkin-800-1200/qtl.,Asked about Market of pumpkin?
2279,SOWING TIME OF WATERMILON-JANEVARI-FEBRUVARI,ASKED ABOUT SOWING TIME OF WATERMILON?
2280,CATERPILLAR ATTACK ON BRINJAL-Quinolphos 30 ml / 15 liter water,ASKED ABOUT CATERPILLAR ATTACK ON BRINJAL?
2281,"VARIETY OF BENGAL GRAM VIJAY ,DIGVIJAY,VIRAT",ASKED ABOUT VARIETY OF BENGAL GRAM ?
2282,sowing period of bengal gram - 20 october-15 november,asked about sowing period of bengal gram?
2283,Lancer Gold 51.8 SP 30 GM /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL,ASKED ABOUT ATTACK OF APHIDS AND WHITE FLY?
2284,Spray Bavistine 30gm/15lit of Water.,asked ABOUT BLIGHT ATTACK ON ONION ?
2285,"Asparagus Planting - The plant grows well in hot, temperate climates, according to the costing of asparagus seeds or by the spill of the mattress, the price is Rs.13-3000 per kg.",ASKED ABOUT CULTIVATION PRACTICES OF ASPARAGUS ?
2286,Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER,ASKED ABOUT FLOWER DROP IN PIGEON PEA ?
2287,APPLICATION OF 10 26 26 1 BAG + UREA 1 BAG + MICRO NUTRIENTS 10 KG / ACRE,ASKED ABOUT FERTILIZER DOSE ON ONION ?
2288,Spray Takumi 5 GM /15 liter water (Flubendamide 20%WGD)-Tata Rallis India,ATTACK OF LEAF EATING CATERPILLAR ? ???? ?????? ??? ????????
2289,Spray Rogar 15ml/15 Liter of Water(Dimethoate)-Cheminova,ATTACK OF APHIDS on drum stick?
2290,SPRAY 00 52 34 60 GM /15 Lit of Water.,FERTILIZER SPRAY ON SUGARCANE ?
2291,ATTACK OF WHITE FLIES ON BRINJAL : Spray Ullala 8 gm/15 Lit of Water (flonicamid)-UPL,ASKED ABOUT ATTACK OF WHITE FLIES ON BRINJAL ?
2292,"Market price of Onion-

Min- 100   Max-1510     Average-700 /quintal",Farmer asked about market rate Onion?
2293,variety of gram  - Two new machine harvestable chickpea varieties ICCV 08102 (RVG 204) and ICCV 08108 (Phule Vikram) were released recently in the Indian states of Madhya Pradesh and Maharashtra respectively.,asked about variety of gram ?
2294,VARIETIES OF BRINJAL -MANJARI GOTA VAISHALI PRAGATI ARUNA KRUSHNA ARJUN GAURAV,VARIETIES OF BRINJAL ?
2295,TIME OF SOWING OF FENUGREEK - SEPTEMBER-JANUVARI,ASKED ABOUT TIME OF SOWING ?
2296,"VARIETIES OF METHI -METHI -1, METHI NO.-47 PRABHA, PUSA EARLY BUNCHING KASURI",FARMER ASKED ABOUT VARIETIES OF METHI ?
2297,SPRAY 19 19 19 60  GM + MICROLLA 40  ML /15 LITERS OF WATER,FERTILIZER SPRAY FOR GROWTH on coriander?
2298,SPRAY ADMIRE 5 GM /15 liter water BAYER CROP SCIENCE,Attack of APHIDS on cane ?
2299,seed treatment for gram - mix bavistin 2 gm / kg of gram seed,asked about seed treatment for gram ?
2300,SUCKING PEST on tomato-SPRAY ADMIRE 5 GM /15 liter water BAYER CROP SCIENCE,ATTACK OF SUCKING PEST on tomato?
2301,caterpillar attack on piegeon pea- Spray Missile 7 gm/15 liter water (Emamectin Benzoate 5% SG)- Crystal Crop Protection,Asked about caterpillar attack on piegeon pea ?
2302,ATTACK OF SUCKING PEST ON CHILI  -                 Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-SyngentaSpray,ATTACK OF SUCKING PEST ON CHILI ?
2303,Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER,ASKING ABOUT  MANGO   FRUIT ?
2304,FERTILIZER SPRAY ON OKRA - SPRAY 12 61 00 60 GM + MICROLLA  30 ML /15 LITERS OF WATER,ASKING ABOUT FERTILIZER SPRAY ON OKRA ?
2305,Spray Proclaim 07 gm/15 liter of Water(Emamectin Benzoate)Syngenta,ASKING ABOUT ATTACK OF CATERPILLAR ON PIGEON PEA ?
2306,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta,ATTACK OF SUGARCANE WOOLY APHIDS ? ????? ????
2307,BAVISTIN 30 GM +MICROLLA  30 ML /15 LITERS OF WATER,FERTILIZER SPRAY ON BOTTLE GOURD  ?
2308,Spray Ullala 8 gm+m 45 30 gm/15 Lit of Water. (Flonicamid 50% WG) UPL,ASKING ABOUT ATTACK OF SUCKING PEST ON BRINJAL?
2309,MARKET RATE OF - 3345 RS/QTL,FARMER ASKED ABOUT MARKET RATE OFSOYABEAN ?
2310,METHI GROWTH SPRAY 191919 30 GRAM /15 LITER WATER,METHI GROWTH
2311,Spray m-45 30 gm /15 liter water.(Mancozeb) INDOFIL,yellowing of onion leaveas ?
2312,FERTILIZER SPRAY FOR GROWTH -SPRAY 19 19 19 60 GM + MICROLLA 30 ML /15 LITERS OF WATER.,ASKED ABOUT FERTILIZER SPRAY FOR GROWTH ?
2313,Spray Neem ark 30 ml/15 liter water.,Asked about Attack of caterpillar?
2314,Spray Admire 5 gm/15 Liter of Water (Imida 70 WP)-Bayer,Asked About Attack of Aphids On Sugarcane?
2315,National Research Centre For Grapes=Phone: 020 2695 6000,National Research Centre For Grapes ?
2316,nan,FARMER ASKED ABOUT MARKET RATE OF BRINJAL ?
2317,Attack of sucking pest on onion-Spray of bio-303 15ml/15 liter water.,Asked about Attack of sucking pest on onion?
2318,QUINTAL Min -  100	    Max - 2500	Average -1000,Farmer Asked About Market Rate of onion ?
2319,ATTACK OF  POD BORER ON PIGEON PEA : Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta,ATTACK OF  POD BORER ON PIGEON PEA  ?
2320,APPLICATION OF 10 26 26 2 BAG + UREA 2 BAG / ACRE,FERTILIZER DOSE FOR JAWAR ?
2321,SPRAY CALSIBOR 30 GM /15 LITERS OF WATER,ASKED ABOUT FRUIT DROP IN COCONUT?
2322,drenching  RIDOMIL GOLD (metalaxyl-M)30 GM / 15 LITERS OF WATER. SYNGENTA,asked about attack wilt on ginger?
2323,french bean- seed rate-40-50 kg/ha,aasked about seed rate of french bean?
2324,Spray Proclaim 5gm + Bavistin-30 gram /15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta,Asked About Attack of Fruit Borer On Brinjal ?
2325,AURANGABAD MARKET RATE OF 100-1500 RS  /QTL,FARMER ASKED ABOUT MARKET RATE OF CAPSICUM  ?
2326,ATTACK OF LEAF EATING CATERPILLAR on tur - deltamethrin 8 ml/15 liter water.,ATTACK OF LEAF EATING CATERPILLAR on tur ?
2327,Spray Antracol 30 gm/15 Liter of Water (Propineb) BAYER CROP SCIENCE,FARMER BLIGHT ATTACK ?
2328,MARKET RATE OFPUNE onion : 1000	-2200RS/QUINTAL,ASKED ABOUT MARKET RATE OF onion in pune ?
2329,FLOWER DROP on chillies - Spray Plano fix 4 ml/15 Lit of Water.(NAA) BAYER,asking about FLOWER DROP on chillies ?
2330,latur  market rate of soyabean-3280-3400 rs / qtl,asked about market rate of soyabean?
2331,SPRAY 00:00:50  60 GRAM + STICKER 5 MILI  /15LIT  WATER,asking about FERTILIZER DOSE FOR ONION CROP?
2332,CONTROLL OF BLIGHT ATTACK on marigold-Spray Blue copper -30 gm/15 lit water.(COPPER OXYCHLORIDE 50% WP)  SYNGENTA,ASKING ABOUT CONTROLL OF BLIGHT ATTACK on marigold?
2333,MARKET RATE OF onion-100-2600RS/QUINTAL.,ASKED ABOUT MARKET RATE OF onion?
2334,MARKET RATE OF ONION = 100-2600 RS/QTL,ASKED ABOUT MARKET RATE OF ONION    ?
2335,"folier spray nutrient for onion - spray 00 52 34 , 70 gm + microla 30 ml / 15 liter water .",asked about folier spray nutrient for onion ?
2336,VARIETIES OF CABBAGE - GOLDEN EKAR PRIDE OF INDIA PUSA MUKTA KAVERI HARI RANI KRANTI Equatoria Summer Queen  MANAS,VARIETIES OF CABBAGE ?
2337,SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER,FERTILIZER SPRAY FOR GROWTH ONION  ?
2338,SPRAY POTASSIUM NITRATE 13: 00 :45 :-60 GM /15 LITERS OF WATER,fertiliser spray on redgram?
2339,VARIETIES OF FODDER MAIZE -DECCAN DOUBLE HYBRID GANGA SAFED AFRICAN TALL,VARIETIES OF FODDER MAIZE ?
2340,SPRAY NUVAN 20 ML / 15 LITERS OF WATER ( Dichlorvos 76% EC),ASKED ABOUT CONTROL OF FRUIT BORER IN BRINJAL ?
2341,VARIETIES OF RIDGE GOURD -JK MALVIKA RAMA DHANUSH MAYURI,VARIETIES OF RIDGE GOURD ?
2342,SPRAY VERTICILLIUM LECANII 75 GRAM / 15 LITRE OF WATER,ASKED ABOUT MEALY BUG ATTACK ON SUGARCANE?
2343,FERTILIZER SPRAY FOR GROWTH ON ONION - SPRAY 19 19 19 60 GM + MICROLLA  30 ML  /15 LITERS OF WATER,FARMER ASKED ABOUT FERTILIZER SPRAY FOR GROWTH ON ONION ?
2344,GROWTH SPRAY=SPRAY CALSIBOR 30 GM  +0.52.34 60 GRAM/15 LI WATER.,ASKED ABOUT GROWTH SPRAY ?
2345,Spray Missile 7 gm/15 liter water (Emamectin Benzoate 5% SG)- Crystal Crop Protection,ATTACK OF POD BORER ON TUR  ?
2346,TIME OF SOWING OF WATERMELON-JANUVARI-FEBRUVARI,ASKED ABOUT TIME OF SOWING OF WATERMELON?
2347,FUNGUS ATTACK ON ONION = SPRAY 19:19:19 60 GM + MICROLLA 30 ML + BAVISTIN 30 GM / 15 LITER WATER,FUNGUS ATTACK ON ONION ?
2348,Spray Proclaim 5 gm/15 liter of Water(Emamectin Benzoate)Syngenta,asked about caterpillar attack on pigeon pea ?
2349,WILT ON CHILLI-DRENCHING SAFF 30 GM / 15 LITER OF WATER,ATTACK OF WILT ON CHILLI ?
2350,DRENCHING OF BLUE COPPER 30 GM + HUMMIC ACID 30 ML/15 LITER WATER,ASKED ABOUT WILT ATTACK IN ONION  ?
2351,"In solapur market -

TODAY Market Rate of ONION -Minimum- 100 rupees/qtl and maximum -2200 rupees/qtl",Asking About Market Rate of Cotton in solapur market?
2352,FERTILIZER SPRAY ON ONION-SPRAY 00 52 34-60 GM /15 Lit of Water.,FARMER ASK ABOUT FERTILIZER SPRAY ON ONION ?
2353,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta,Attack of Thrips and Jassids on bhindi ?
2354,spray 00 00 50 60 gm/15 liter water,fertilizer spray for onion ?
2355,spray 12:61;00 60 GM  + MICROLLA 30 ML /15 LITER WATER,asked about nutrient management.
2356,spray 00 52 34 60 gm  / 15 lit water,Growth Sprayer ?
2357,SEED TREATMENT FOR ONION- YOU CAN USE  BAVISTIN 2 GM / 1 KG OF SEED,ASKED ABOUT SEED TREATMENT FOR ONION?
2358,spray 13:40:13 60 GM  + MICROLLA 30 ML + BAVISTIN 30 GM/15 LITER. WATER.,asked about tonic fertilizer  .
2359,Attack of blight on onion-Spray of saaf 30gm/15 liter water.,Asked about Attack of blight on onion?
2360,"?????? ??? ?????(???-????) DRUMSTICK 

?????? ?????? (??./??.)??? ????? ??????

???????? ???? (????)-?*? ? ?*?

?????? ??????? (????)?-?? ?????

??????? ??????? (??/??.)??-?? ????? ????? ???

??????? ????-??? ?,??? ?,???? ??????,???????, 

?????????? ???? ??????, ??.??.??.-1, ??.??.??.-2 ?? ??????? ???? ?????.

???? ?????? ?? ???????? ????? ???? ???????, ????? ???? ??? ???????? ???????? ?????.??.??.??.-1, ??.??.??.-2 ?? ???? ??? ?? ?? ????????? ?????????? ?????.

             ?????????? ?????",asked about varieties of drumstick ?
2361,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL,ASKED ABOUT ATTACK OF BLGHT ON COTTON ?
2362,Spray Alika 8 ml / 15 lit of water  (Thiamethoxam (12.6%) + Lambdacyhalothrin (9.5%) ZC )Syngenta,ASKED ABOUT ATTACK OF THRIPS ON GUAR  ?
2363,drenching for new planting turmeric SAAF 30 GM +Chloropyriphos 30 ml /15 liter water.,Asked drenching for new planting turmeric?
2364,Minimum Support Price for Kharif soybean  3399 rs /Qt.,Minimum Support Price for Kharif soybean Crops 2018-19
2365,SPRAY CALSIBOR 30 GM /15 LITERS OF WATER,Flower Drop COTTON ?
2366,DRENCHING Bavistine 30gm/15lit of Water. (Carbendazim 50% WP ) BASF,WILT ATTACK ON CHILLY ?
2367,SPRAY 12 61 00 40 60 GM + MICROLLA  30 ML /15 LITERS OF WATER,ASKED ABOUT FERTILIZER SPRAY FOR GROWTH IN TURMERIC?
