QueryText,KCCAns
ASKED ABOUT ATTACK OF BLIGHT ON TURMERIC ?,ATTACK OF BLIGHT ON TURMERIC :Spray Kavach  15 gm/15 Liter of Water(Chlorothalonil)-Syngenta
ASKED ABOUT CATERPILLAR ATTACK ON TURMERIC ?,CATERPILLAR ATTACK ON TURMERIC - spray Chloropyriphos 40 ml / 15 lit of water.
ASKED ABOUT CATERPILLAR ATTACK ON TURMERIC ?,CATERPILLAR ATTACK ON TURMERIC - spray Chloropyriphos 40 ml / 15 lit of water.
Asked About Attack of White Grub ?,Drenching of Chloropyriphos 40 ml + Blu Copper-30 gram / 15 lit of water.
Asked About Attack of White Grub ?,Drenching of Chloropyriphos 40 ml + Blu Copper-30 gram / 15 lit of water.
asked about tuber fly in turmeric ?,DRENCHING OF HAMALA 550 1500 mili / 200 liter of water through drip
asked about tuber fly in turmeric ?,DRENCHING OF HAMALA 550 1500 mili / 200 liter of water through drip
ASKING ABOUT REDDNING OF COTTON?,SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
ASKING ABOUT REDDNING OF COTTON?,SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
ASKING ABOUT ATTACK OF CATTERPILLAR ON pigeon pea ?,Spray Chloropyriphos 30ml(Blaze (Indofil))/15 Liter of Water.
ASKING ABOUT ATTACK OF CATTERPILLAR ON pigeon pea ?,Spray Chloropyriphos 30ml(Blaze (Indofil))/15 Liter of Water.
ATTACK OF LEAF EATING CATERPILLAR ?,Spray of Triazhophos 30 ml/15 liter water.
ATTACK OF LEAF EATING CATERPILLAR ?,Spray of Triazhophos 30 ml/15 liter water.
ASKING ABOUT SPRAY FOR CONTROLLING FLOWER DROP ?,Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER.
ASKING ABOUT SPRAY FOR CONTROLLING FLOWER DROP ?,Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER.
ASKED ABOUT ATTACK OF THRIPS ON PAPAYA?,???? ????????? 04 ????/15???? ??????????? ???? ?????? ?????.
ASKED ABOUT ATTACK OF THRIPS ON PAPAYA?,???? ????????? 04 ????/15???? ??????????? ???? ?????? ?????.
VARIETIES OF BENGAL GRAM ?,"VARIETIES OF BENGAL GRAM - VIJAY ,DIGVIJAY, VISHAL, VIKAS, JAKI-9218, PHULE G-12"
VARIETIES OF BENGAL GRAM ?,"VARIETIES OF BENGAL GRAM - VIJAY ,DIGVIJAY, VISHAL, VIKAS, JAKI-9218, PHULE G-12"
FERTILIZER SPRAY FOR GROWTH ?,SPRAY 12 61 00 60 GM + MICROLLA  30 ML /15 LITERS OF WATER.
FERTILIZER SPRAY FOR GROWTH ?,SPRAY 12 61 00 60 GM + MICROLLA  30 ML /15 LITERS OF WATER.
asked fertiliser spray for,SPRAY 19 19 19 40 GM + MICROLLA 30 ML + humic acid 30 ml/15 LITERS OF WATER
asked fertiliser spray for,SPRAY 19 19 19 40 GM + MICROLLA 30 ML + humic acid 30 ml/15 LITERS OF WATER
ATTACK OF LEAF EATING CATERPILLAR ON TUR ?,Spray Chloropyriphos 30 ml /15 Lit of Water.
ATTACK OF LEAF EATING CATERPILLAR ON TUR ?,Spray Chloropyriphos 30 ml /15 Lit of Water.
FARMER ASKED ABOUT NUTRIENT MANAGEMNET FOR TURMERIC ?,ABOUT NUTRIENT MANAGEMNET FOR TURMERIC USE 12:61:00 6 KILO THROUGH DRIP.
FARMER ASKED ABOUT NUTRIENT MANAGEMNET FOR TURMERIC ?,ABOUT NUTRIENT MANAGEMNET FOR TURMERIC USE 12:61:00 6 KILO THROUGH DRIP.
asked about caterpillar attack on pigeon pea ?,caterpillar attack on pigeon pea- Decis 100-4 ml/15 liter water.( Deltamethrin 100  % EC) Byer Crop Science
asked about caterpillar attack on pigeon pea ?,caterpillar attack on pigeon pea- Decis 100-4 ml/15 liter water.( Deltamethrin 100  % EC) Byer Crop Science
FERTILIZER drenching FOR GROWTH on turmeric?,FERTILIZER drenching FOR GROWTH on turmeric-SPRAY 19 19 19-3kilo + MICROLLA 300 ML+humic acid-300 mili /15 LITERS OF WATER
FERTILIZER drenching FOR GROWTH on turmeric?,FERTILIZER drenching FOR GROWTH on turmeric-SPRAY 19 19 19-3kilo + MICROLLA 300 ML+humic acid-300 mili /15 LITERS OF WATER
ASKED ABOUT ATTACK OF CATERPILLAR ON PIGEON PEA ?,Spray Chloropyriphos 30 ml/15 Lit of Water.
ASKED ABOUT ATTACK OF CATERPILLAR ON PIGEON PEA ?,Spray Chloropyriphos 30 ml/15 Lit of Water.
asked about fertilizer dose for banana.,irrigate uria 2 kilo + 00:52:34 5 kilo / ekar through drip.
asked about fertilizer dose for banana.,irrigate uria 2 kilo + 00:52:34 5 kilo / ekar through drip.
ASKED ABOUT ATTACK OF BLIGHT ON TURMERIC?,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL
ASKED ABOUT ATTACK OF BLIGHT ON TURMERIC?,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL
ASKED ABOUT ATTACK OF BLIGHT  ON CHILLI?,Bavistin -30 gram + microla- 30 mili / 15 liter water
ASKED ABOUT ATTACK OF BLIGHT  ON CHILLI?,Bavistin -30 gram + microla- 30 mili / 15 liter water
ASKING CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT?,CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT = 1800 233 0418
ASKING CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT?,CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT = 1800 233 0418
snail attcked on citrus ?,JADAM Organic dreanching to plant 60 gram /plant
snail attcked on citrus ?,JADAM Organic dreanching to plant 60 gram /plant
ATTACK OF  WOOLY APHIDS on turmeric ?,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
ATTACK OF  WOOLY APHIDS on turmeric ?,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
saowing time of wheat ?,saowing time of wheat = fist 15 days of november
saowing time of wheat ?,saowing time of wheat = fist 15 days of november
Asked about attack of fruit borer on tomato ?,For control attack of fruit borer on tomato Spray Quinolphos 30 ml / 15 liter water
Asked about attack of fruit borer on tomato ?,For control attack of fruit borer on tomato Spray Quinolphos 30 ml / 15 liter water
sucking pest attack on turmeric ?,sucking pest attack on turmeric =Spray Actra 5 gm + bavistin 30 gm /15 Liter of Water(Thiomithoxom 25%)-Syngenta
sucking pest attack on turmeric ?,sucking pest attack on turmeric =Spray Actra 5 gm + bavistin 30 gm /15 Liter of Water(Thiomithoxom 25%)-Syngenta
"Asked About Flower Drop Of Cotton?

ASKED ABOUT VARIETIES OF BENGAL GRAM ?","SPRAY CALSIBOR 30 GM /15 LITERS OF WATER

VARIETIES OF BENGAL GRAM - VIJAY ,DIGVIJAY, VISHAL, VIKAS, JAKI-9218, PHULE G-12"
"Asked About Flower Drop Of Cotton?

ASKED ABOUT VARIETIES OF BENGAL GRAM ?","SPRAY CALSIBOR 30 GM /15 LITERS OF WATER

VARIETIES OF BENGAL GRAM - VIJAY ,DIGVIJAY, VISHAL, VIKAS, JAKI-9218, PHULE G-12"
Asked about attack of sucking pest on brinjal ?,For control attack of sucking pest on brinjal Spray Ullala 8 gm/15 Lit of Water.
Asked about attack of sucking pest on brinjal ?,For control attack of sucking pest on brinjal Spray Ullala 8 gm/15 Lit of Water.
Attack of Caterpillar.,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
Attack of Caterpillar.,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
ASKED ABOUT MARKET RATE OF TURMERIC ?,"MARKET RATE OF turmeric - RS/QUINTAL	

MUMBAI-	9000 - 14000	avearage -13000"
ASKED ABOUT MARKET RATE OF TURMERIC ?,"MARKET RATE OF turmeric - RS/QUINTAL	

MUMBAI-	9000 - 14000	avearage -13000"
BLIGHT ATTACK ON TURMERIC ?,Spray m-45 30 gm /15 liter water.(Mancozeb) INDOFIL
BLIGHT ATTACK ON TURMERIC ?,Spray m-45 30 gm /15 liter water.(Mancozeb) INDOFIL
Asking About Market Rate of soybean in RISOD market?,"In RISOD market -

Market Rate of soybean -Minimum- rupees/qtl and maximum -rupees/qtl"
Asking About Market Rate of soybean in RISOD market?,"In RISOD market -

Market Rate of soybean -Minimum- rupees/qtl and maximum -rupees/qtl"
Asking About Market Rate of green gram in risod market?,"In risod market -

Market Rate of green gram -Minimum- 4900 rupees/qtl and maximum - 5200 rupees/qtl"
Asking About Market Rate of green gram in risod market?,"In risod market -

Market Rate of green gram -Minimum- 4900 rupees/qtl and maximum - 5200 rupees/qtl"
RUST ATTACK ON TURMERIC ?,SPRAY RIDOMIL GOLD 30 GM / 15 LITERS OF WATER. SYNGENTA
RUST ATTACK ON TURMERIC ?,SPRAY RIDOMIL GOLD 30 GM / 15 LITERS OF WATER. SYNGENTA
Farmer asked about market rate of soyabean?,"Market price of soyabean -

Min- 3020	Max-3041       Average-3030/quintal"
Farmer asked about market rate of soyabean?,"Market price of soyabean -

Min- 3020	Max-3041       Average-3030/quintal"
ASKING ABOUT FOR BLOOSMING in tur?,Spray Boom flower 30ml(DeviCropscience)/15 liter of Water.
ASKING ABOUT FOR BLOOSMING in tur?,Spray Boom flower 30ml(DeviCropscience)/15 liter of Water.
asked fertilizer dose for turmeric?,turmeric - 10 26 26 - 1 bag/acre
asked fertilizer dose for turmeric?,turmeric - 10 26 26 - 1 bag/acre
asked about attack of stem borer,DEEP COTTON IN NUVAN AND PLACE IT INTO THE HOLE CREATED BY STEM BORER AND COVER THAT HOLE WITH MUD
asked about attack of stem borer,DEEP COTTON IN NUVAN AND PLACE IT INTO THE HOLE CREATED BY STEM BORER AND COVER THAT HOLE WITH MUD
ASKED ABOUT MARKET RATE OF SOYBEAN ?,"MARKET RATE OF SOYBEAN - 

Min-2970      Max-3105    Average-3050 /quintal"
ASKED ABOUT MARKET RATE OF SOYBEAN ?,"MARKET RATE OF SOYBEAN - 

Min-2970      Max-3105    Average-3050 /quintal"
Asking about grouth Spray for Lemon?,SPRAY 19 19 19 60 GM + MICROLLA 30 ML /15 LITERS OF WATER
Asking about grouth Spray for Lemon?,SPRAY 19 19 19 60 GM + MICROLLA 30 ML /15 LITERS OF WATER
Farmer asked about market rate soybean?,"Market price of soybean-

Min- 3020     Max-3041   Average- 3030 /quintal"
Farmer asked about market rate soybean?,"Market price of soybean-

Min- 3020     Max-3041   Average- 3030 /quintal"
ASKED ABOUT REDDENING OF COTTON ?,SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
ASKED ABOUT REDDENING OF COTTON ?,SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
ATTACK OF LEAF EATING CATERPILLAR ?,Spray Chloropyriphos 30 ml/15 Lit of Water.
ATTACK OF LEAF EATING CATERPILLAR ?,Spray Chloropyriphos 30 ml/15 Lit of Water.
Attack  Stem Borer?,Spray Nuvan 15 ml/ 15Lit of Water(Diclorvos 76%)Cheminova
Attack  Stem Borer?,Spray Nuvan 15 ml/ 15Lit of Water(Diclorvos 76%)Cheminova
asking about caterpillar on cotton ?,Decis 100-4 ml/15 liter water.( Deltamethrin 100  % EC) Byer Crop Science
asking about caterpillar on cotton ?,Decis 100-4 ml/15 liter water.( Deltamethrin 100  % EC) Byer Crop Science
ASKING ABOUT CONTROL OF BLIGHT ATTACK ?,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL
ASKING ABOUT CONTROL OF BLIGHT ATTACK ?,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL
ATTACK OF BLIGHT ATTACK AND LEAF EATING CATERPILLAR ON TURMERIC ?,Blight attack control -Spray Blue copper -30 gm/15 lit water.(COPPER OXYCHLORIDE 50% WP)  SYNGENTA + Spray Chloropyriphos 30 ml/15 Lit of Water.
ATTACK OF BLIGHT ATTACK AND LEAF EATING CATERPILLAR ON TURMERIC ?,Blight attack control -Spray Blue copper -30 gm/15 lit water.(COPPER OXYCHLORIDE 50% WP)  SYNGENTA + Spray Chloropyriphos 30 ml/15 Lit of Water.
attack of stem borer?,Spray Blue copper -30 gm  +nuvan 20 mili/15 lit water.(COPPER OXYCHLORIDE 50% WP)
attack of stem borer?,Spray Blue copper -30 gm  +nuvan 20 mili/15 lit water.(COPPER OXYCHLORIDE 50% WP)
ATTACK OF SUCKING PEST ?,BIO 303 - 22 ML / 15 LITERS OF WATER DAMAN
ATTACK OF SUCKING PEST ?,BIO 303 - 22 ML / 15 LITERS OF WATER DAMAN
ASKING ABOUT FERTILIZER SPRAY IN TURMERIC ?,THIVAR 1 lit + CROPSHINER 1 lit + PROTECTANT 100 GM + + HARMONY 500 ML +250 LIT WATER
ASKING ABOUT FERTILIZER SPRAY IN TURMERIC ?,THIVAR 1 lit + CROPSHINER 1 lit + PROTECTANT 100 GM + + HARMONY 500 ML +250 LIT WATER
ASKED ABOUT MARKET RATE OF SOYBEAN ?,SOYBEAN MARKET RATE -3000RS/QUINTAL
ASKED ABOUT MARKET RATE OF SOYBEAN ?,SOYBEAN MARKET RATE -3000RS/QUINTAL
"FOR FLOWERING TUR ? +

ATTACK OF LEAF EATING CATERPILLAR ?","Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20 %)DEVI CROP SCIENCE

+	Spray fame  5ml/15 Lit of Water. (Flubendiamide 480 SC )- Byer Crop Science"
"FOR FLOWERING TUR ? +

ATTACK OF LEAF EATING CATERPILLAR ?","Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20 %)DEVI CROP SCIENCE

+	Spray fame  5ml/15 Lit of Water. (Flubendiamide 480 SC )- Byer Crop Science"
gram field preparation,"The name of the crop-Harbara (15 September, 20 october, December)

Seed ratio (km / ha) Vijay-22-23, Vishal-15-16, Digvijay-11-12

Sowing distance (cm) -30-45 * 10

Hectare production (quintals / ha) 12-20

Period of crop (days) 100-115

Revised caste-Vijay, Digvijay, Saki 9 516, Virat"
gram field preparation,"The name of the crop-Harbara (15 September, 20 october, December)

Seed ratio (km / ha) Vijay-22-23, Vishal-15-16, Digvijay-11-12

Sowing distance (cm) -30-45 * 10

Hectare production (quintals / ha) 12-20

Period of crop (days) 100-115

Revised caste-Vijay, Digvijay, Saki 9 516, Virat"
Asked about BLIGHT ATTACK on Turmeric ?,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL
Asked about BLIGHT ATTACK on Turmeric ?,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL
ASKED ABOUT ATTACK OF BLIGHT ON MANGO?,ATTACK OF BLIGHT ON MANGO-SPRAY OF SAAF 30 GM / 15 LITERS OF WATER.
ASKED ABOUT ATTACK OF BLIGHT ON MANGO?,ATTACK OF BLIGHT ON MANGO-SPRAY OF SAAF 30 GM / 15 LITERS OF WATER.
ASKING ABOUT CONTROL OF BLIGHT ATTACK ON TURMERIC ?,FOR  CONTROL OF BLIGHT ATTACK ON TURMERIC SPRAY CONTAF  15 ml/15 liter water.
ASKING ABOUT CONTROL OF BLIGHT ATTACK ON TURMERIC ?,FOR  CONTROL OF BLIGHT ATTACK ON TURMERIC SPRAY CONTAF  15 ml/15 liter water.
attack of fruit borer on brinjal ?,Spray Chloropyriphos 30 ml/15 Liter  of Water.
attack of fruit borer on brinjal ?,Spray Chloropyriphos 30 ml/15 Liter  of Water.
Attack of White Grub ?,DRENCHING OF HAMALA 550 40 ML/15 LITERS OF WATER
Attack of White Grub ?,DRENCHING OF HAMALA 550 40 ML/15 LITERS OF WATER
ASKING ABOUT WHEAT SOWING PERIOD?,Complete the sowing of horticultural wheat in the first fortnight of November
ASKING ABOUT WHEAT SOWING PERIOD?,Complete the sowing of horticultural wheat in the first fortnight of November
"ASKING ABOUT VARIETIES OF SORGHUM ?



VARIETIES OF SORGHUM -","PHULE CHITRA ,PHULE SUCHITRA ,PHULE MAULI, PHULE ANURADHA, PHULE REVTI, MALDANDI 35-1"
"ASKING ABOUT VARIETIES OF SORGHUM ?



VARIETIES OF SORGHUM -","PHULE CHITRA ,PHULE SUCHITRA ,PHULE MAULI, PHULE ANURADHA, PHULE REVTI, MALDANDI 35-1"
asked about attack of white fly.,Spray Oberon 15 ml / 15 Liter of Water.(Spiromesifen) BAYER CROP SCIENCE
asked about attack of white fly.,Spray Oberon 15 ml / 15 Liter of Water.(Spiromesifen) BAYER CROP SCIENCE
Asking About Market Rate OF SOYBEAN ?,Market Rate OF SOYBEAN - 2851 rupees/qt.
Asking About Market Rate OF SOYBEAN ?,Market Rate OF SOYBEAN - 2851 rupees/qt.
fertilizer spray for growth  on redgram?,you can spray 12:51:00- 50 gm + microlla 30 ml / 15 liter of water
fertilizer spray for growth  on redgram?,you can spray 12:51:00- 50 gm + microlla 30 ml / 15 liter of water
Attack of White Grub ?,Drenching of Chloropyriphos 40 ml / 15 lit of water.
Attack of White Grub ?,Drenching of Chloropyriphos 40 ml / 15 lit of water.
ASKING CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT?,CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT = 1800 233 0418
ASKING CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT?,CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT = 1800 233 0418
FOR FLOWERING,Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20 %)DEVI CROP SCIENCE
FOR FLOWERING,Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20 %)DEVI CROP SCIENCE
asking about sucking pest on  chili?,BIO 303 -15 ML / 15 LITERS OF WATER DAMAN
asking about sucking pest on  chili?,BIO 303 -15 ML / 15 LITERS OF WATER DAMAN
Attack  Stem Borer?,SPRAY NUVAN 20 ML / 15 LITERS OF WATER ( Dichlorvos 76% EC)
Attack  Stem Borer?,SPRAY NUVAN 20 ML / 15 LITERS OF WATER ( Dichlorvos 76% EC)
VARIETIES OF BAJRI ?,VARIETIES OF BAJRI - SHRADHA SABURI SHANTI SAMRIDHI PARBHANI SAMPADA
VARIETIES OF BAJRI ?,VARIETIES OF BAJRI - SHRADHA SABURI SHANTI SAMRIDHI PARBHANI SAMPADA
ATTACK OF LEAF EATING CATERPILLAR ?,Spray Quinolphos 30 ml / 15 liter water
ATTACK OF LEAF EATING CATERPILLAR ?,Spray Quinolphos 30 ml / 15 liter water
Attack of White Grub on Orange ?,CONTROL OF WHITE GRUB ON ORANGE - DRENCHING OF HAMALA 550 40 ML/15 LITERS OF WATER
Attack of White Grub on Orange ?,CONTROL OF WHITE GRUB ON ORANGE - DRENCHING OF HAMALA 550 40 ML/15 LITERS OF WATER
ASKING ABOUT CONTROLL OF BLIGHT ATTACK ?,Spray Kavach  15 gm/15 Liter of Water(Chlorothalonil)-Syngenta
ASKING ABOUT CONTROLL OF BLIGHT ATTACK ?,Spray Kavach  15 gm/15 Liter of Water(Chlorothalonil)-Syngenta
ASKING ABOUT Attack of White Grub ON TURMERIC ?,Attack of White Grub ON TURMERIC - Use Thimate 4 kg / acre.
ASKING ABOUT Attack of White Grub ON TURMERIC ?,Attack of White Grub ON TURMERIC - Use Thimate 4 kg / acre.
ASKING ABOUT ATTACK OF Downy or Blight on turmeric.,"Spray Ridomil Gold 45 gm/15 Liter of Water(64% w/wmancozeb+4% w/wmetalaxyl-M)-Syngenta Contact,Systemic,Protectant"
ASKING ABOUT ATTACK OF Downy or Blight on turmeric.,"Spray Ridomil Gold 45 gm/15 Liter of Water(64% w/wmancozeb+4% w/wmetalaxyl-M)-Syngenta Contact,Systemic,Protectant"
SEED TREATMENT FOR BENGAL GRAM ?,SEEDS ARE TREATED WITH 2-2.5 GM THIRUM /1 KG OF SEEDS THEN RHIZOBIUM 25 GM+ PSB 25 GM + 100 GM JAGERY / 1 KG OF SEEDS
SEED TREATMENT FOR BENGAL GRAM ?,SEEDS ARE TREATED WITH 2-2.5 GM THIRUM /1 KG OF SEEDS THEN RHIZOBIUM 25 GM+ PSB 25 GM + 100 GM JAGERY / 1 KG OF SEEDS
FARMER ASKED ABOUT MARKET RATE OF SOYABEAN ?,MARKET RATE OF -2906 RS/QTL
FARMER ASKED ABOUT MARKET RATE OF SOYABEAN ?,MARKET RATE OF -2906 RS/QTL
ASKED ABOUT WHITE GRUB  ON TUR ?,WHITE GRUB  ON TUR -Use Fertera 4 kg /acre
ASKED ABOUT WHITE GRUB  ON TUR ?,WHITE GRUB  ON TUR -Use Fertera 4 kg /acre
ATTACK OF SHOOT BORER ?,Spray Takumi 5 GM /15 liter water (Flubendamide 20%WGD)-Tata Rallis India
ATTACK OF SHOOT BORER ?,Spray Takumi 5 GM /15 liter water (Flubendamide 20%WGD)-Tata Rallis India
ASKING ABOUT WEATHER REPORT TAHSIL?,TAHSIL WEATHER REPORT-THIS WEEK WEATHER IS CLOUDY AND   LIGHT RAINFALL CHANCES DURING THIS WEEK
ASKING ABOUT WEATHER REPORT TAHSIL?,TAHSIL WEATHER REPORT-THIS WEEK WEATHER IS CLOUDY AND   LIGHT RAINFALL CHANCES DURING THIS WEEK
ATTACK OF LEAF EATING CATERPILLAR on sorghum ?,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
ATTACK OF LEAF EATING CATERPILLAR on sorghum ?,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
FRUIT BORER on tur ?,Spray Quinalphos (20 % AF) 22 Ml/15 Liter Of Water
FRUIT BORER on tur ?,Spray Quinalphos (20 % AF) 22 Ml/15 Liter Of Water
ATTACK OF SHOOT BORER ?,Spray Chloropyriphos 30 ml/15 Lit of Water.
ATTACK OF SHOOT BORER ?,Spray Chloropyriphos 30 ml/15 Lit of Water.
FERTILIZER SPRAY ON turmeric ?,SPRAY 00 52 34 60 GM /15 Lit of Water.
FERTILIZER SPRAY ON turmeric ?,SPRAY 00 52 34 60 GM /15 Lit of Water.
Asking About Market Rate OF COTTON?,Market Rate Of COTTON:- 5556	5700	5670   Rupees/Qtl
Asking About Market Rate OF COTTON?,Market Rate Of COTTON:- 5556	5700	5670   Rupees/Qtl
ASKED ABOUT FERTILIZER DOSE FOR TUR ?,SPRAY 12 61 00 40 60 GM + MICROLLA  30 ML /15 LITERS OF WATER
ASKED ABOUT FERTILIZER DOSE FOR TUR ?,SPRAY 12 61 00 40 60 GM + MICROLLA  30 ML /15 LITERS OF WATER
FERTILIZER SPRAY,SPRAY 12 61 00 40 60 GM + MICROLLA  30 ML /15 LITERS OF WATER
FERTILIZER SPRAY,SPRAY 12 61 00 40 60 GM + MICROLLA  30 ML /15 LITERS OF WATER
ASKED ABOUT MARKET RATE OF SOYBEAN  ?,MARKET RATE OF  SOYBEAN -2875 -	3100	 RS/QUINTAL
ASKED ABOUT MARKET RATE OF SOYBEAN  ?,MARKET RATE OF  SOYBEAN -2875 -	3100	 RS/QUINTAL
Attack of White Grub ?,DRENCHING OF HAMALA 550 40 ML/15 LITERS OF WATER
Attack of White Grub ?,DRENCHING OF HAMALA 550 40 ML/15 LITERS OF WATER
Attack of Jassids/Leaf hoppers?,SPRAY KARATE 15 ML/15 LITERS OF WATER (Lambdacyhalothrin ) SYNGENTA
Attack of Jassids/Leaf hoppers?,SPRAY KARATE 15 ML/15 LITERS OF WATER (Lambdacyhalothrin ) SYNGENTA
ATTACK OF LEAF EATING CATERPILLAR ?,Spray Proclaim 5 gm+bavistin 30 gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
ATTACK OF LEAF EATING CATERPILLAR ?,Spray Proclaim 5 gm+bavistin 30 gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
attack of sucking pest on chilli?,Spray Confidor 10 ml  / 15 liter water
attack of sucking pest on chilli?,Spray Confidor 10 ml  / 15 liter water
FERTILIZER DOSE FOR TOMATO?,13 00 45 3 KG /200 LITER WATER THROUGH DRIP
FERTILIZER DOSE FOR TOMATO?,13 00 45 3 KG /200 LITER WATER THROUGH DRIP
VARIETIES OF BRINJAL ?,VARIETIES OF BRINJAL -MANJARI GOTA VAISHALI PRAGATI ARUNA KRUSHNA ARJUN GAURAV
VARIETIES OF BRINJAL ?,VARIETIES OF BRINJAL -MANJARI GOTA VAISHALI PRAGATI ARUNA KRUSHNA ARJUN GAURAV
Asked about Varieties of brinjal?,"Varieties of brinjal-Manjari gota,vaishali,aruna,pragati."
Asked about Varieties of brinjal?,"Varieties of brinjal-Manjari gota,vaishali,aruna,pragati."
attack of stem borrer on mango?,STEM BORRER ON MANGO-SPRAY NUVAN 20 ML / 15 LITERS OF WATER ( Dichlorvos 76% EC)
attack of stem borrer on mango?,STEM BORRER ON MANGO-SPRAY NUVAN 20 ML / 15 LITERS OF WATER ( Dichlorvos 76% EC)
Attack of Fruit Borer ? ?? ???????? ???,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
Attack of Fruit Borer ? ?? ???????? ???,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
asked about attack of catepillar on turmeric ?,attack of catepillar on turmeric  - Decis 100-4 ml/15 liter water.( Deltamethrin 100  % EC) Byer Crop Science
asked about attack of catepillar on turmeric ?,attack of catepillar on turmeric  - Decis 100-4 ml/15 liter water.( Deltamethrin 100  % EC) Byer Crop Science
Asking About Market Rate soyabean ?,latur Market Rate of soyabean- 3050-3345  rupees/qtl
Asking About Market Rate soyabean ?,latur Market Rate of soyabean- 3050-3345  rupees/qtl
VARIETIES OF BENGAL GRAM ?,"VARIETIES OF BENGAL GRAM - VIJAY ,DIGVIJAY, VISHAL, VIKAS, JAKI-9218, PHULE G-12"
VARIETIES OF BENGAL GRAM ?,"VARIETIES OF BENGAL GRAM - VIJAY ,DIGVIJAY, VISHAL, VIKAS, JAKI-9218, PHULE G-12"
ATTACK OF SUCKING PEST ?,Confidor 10 ml /15 litar water (Imidacloprid 17.8 %)
ATTACK OF SUCKING PEST ?,Confidor 10 ml /15 litar water (Imidacloprid 17.8 %)
asked about attack of red mite,spray sulphur 2 gram / 1 liter of water.
asked about attack of red mite,spray sulphur 2 gram / 1 liter of water.
FARMER ASKED ABOUT MARKET RATE of cotton?,MARKET RATE of cotton-5450-5500 RS/QTL
FARMER ASKED ABOUT MARKET RATE of cotton?,MARKET RATE of cotton-5450-5500 RS/QTL
asked about fertilizer dose for growth?,10:26:26:1 bag - from drip/ 1 acre
asked about fertilizer dose for growth?,10:26:26:1 bag - from drip/ 1 acre
Asked about Attack of White Grub on turmeric?,DRENCHING OF HAMALA 550 40 ML/15 LITERS OF WATER.
Asked about Attack of White Grub on turmeric?,DRENCHING OF HAMALA 550 40 ML/15 LITERS OF WATER.
ASKING ABOUT  DRENCHING ?,DRAINCHING OF 00 52 34 60 gm+ HUMIC ACID 30 ML/15 LITER WATER
ASKING ABOUT  DRENCHING ?,DRAINCHING OF 00 52 34 60 gm+ HUMIC ACID 30 ML/15 LITER WATER
BLIGHT ATTACK ON TURMERIC ?,Spray m-45 30 gm + Microla 40 ml/15 liter water.(Mancozeb) INDOFIL
BLIGHT ATTACK ON TURMERIC ?,Spray m-45 30 gm + Microla 40 ml/15 liter water.(Mancozeb) INDOFIL
